Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Component/s,Due Date,Votes,Description,Environment,Watchers,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Custom field (Account),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Iteration),Custom field (Rank),Sprint,Sprint,Custom field (Story Points),Custom field (Team),Custom field (Team Role)
Retrieve comments and replies for the gateway with elapsed time,KAR-410,15308,,Story,Done,KAR,Karma,software,ranjit.gupta,,,Highest,Done,sarangibalu.a,sarangibalu.a,sarangibalu.a,12/Nov/19 2:37 PM,13/Nov/19 12:34 PM,19/Nov/19 9:58 AM,13/Nov/19 10:39 AM,Server side,12/Nov/19 12:00 AM,0,"As a User, i can see all comments and replies of a post",,sarangibalu.a,,,,,,,,14400,900,21120,,KAR-61,,,KAR-61,,,,"0|i00049:o",KAR Sprint 3,,,,
Implement the logic to know whether the current user liked a comment and reply earlier,KAR-409,15307,14558,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Highest,Done,sarangibalu.a,sarangibalu.a,sarangibalu.a,12/Nov/19 2:33 PM,13/Nov/19 12:32 PM,19/Nov/19 9:58 AM,12/Nov/19 2:33 PM,Server side,12/Nov/19 12:00 AM,0,Implement the logic to know whether the current user liked a comment earlier,,sarangibalu.a,"Done;12/Nov/19 2:33 PM;sarangibalu.a;1800",,,3600,1800,1800,50%,3600,1800,1800,,KAR-350,,,,,,,"0|i00vwf:",KAR Sprint 3,KAR Sprint 4,,,
Add the logic to see all replies by comment id and create the reply-aggregate model,KAR-413,15327,15308,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Highest,Done,sarangibalu.a,sarangibalu.a,sarangibalu.a,12/Nov/19 4:35 PM,13/Nov/19 10:39 AM,19/Nov/19 9:58 AM,13/Nov/19 10:39 AM,Server side,12/Nov/19 12:00 AM,0,Add the logic to see all replies by comment id and create the reply-aggregate model,,sarangibalu.a,"Done;12/Nov/19 4:35 PM;sarangibalu.a;3600","not completed;12/Nov/19 9:19 PM;sarangibalu.a;8700","Done;13/Nov/19 10:39 AM;sarangibalu.a;2520",7200,0,14820,205%,7200,0,14820,,KAR-410,,,,,,,"0|i00w0n:",KAR Sprint 3,,,,
Add the logic to set elapsed time in gateway for comments and replies,KAR-417,15355,15308,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Highest,Done,sarangibalu.a,sarangibalu.a,sarangibalu.a,12/Nov/19 8:42 PM,12/Nov/19 8:43 PM,19/Nov/19 9:58 AM,12/Nov/19 8:43 PM,Server side,,0,"Add the logic to set elapsed time in the gateway for comments, replies committed activity",,sarangibalu.a,"Done;12/Nov/19 8:42 PM;sarangibalu.a;2700",,,3600,900,2700,75%,3600,900,2700,,KAR-410,,,,,,,"0|i00w6v:",KAR Sprint 3,,,,
Add the logic to see all comments by committed activity id and create the comment-aggregate model,KAR-411,15309,15308,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Highest,Done,sarangibalu.a,sarangibalu.a,sarangibalu.a,12/Nov/19 2:42 PM,12/Nov/19 2:42 PM,19/Nov/19 9:58 AM,12/Nov/19 2:42 PM,Server side,12/Nov/19 12:00 AM,0,Add the logic to see all comments by committed activity id and create the comment-aggregate model,,sarangibalu.a,"Done;12/Nov/19 2:42 PM;sarangibalu.a;3600",,,3600,0,3600,100%,3600,0,3600,,KAR-410,,,,,,,"0|i00vwv:",KAR Sprint 3,,,,
Add logic to get all challenges,KAR-397,15101,11074,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Highest,Done,sarangibalu.a,sarangibalu.a,sarangibalu.a,08/Nov/19 4:27 PM,08/Nov/19 4:35 PM,19/Nov/19 9:58 AM,08/Nov/19 4:35 PM,Server side,08/Nov/19 12:00 AM,0,Add logic to get all challenges,,sarangibalu.a,"Done;08/Nov/19 4:27 PM;sarangibalu.a;1800",,,1800,0,1800,100%,1800,0,1800,,KAR-75,,,,,,,"0|i00uq7:",KAR Sprint 1,KAR Sprint 3,,,
Implement the logic to know whether the current user liked a committed activity earlier,KAR-351,14559,14558,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Highest,Done,sarangibalu.a,sarangibalu.a,sarangibalu.a,30/Oct/19 2:10 PM,07/Nov/19 11:52 AM,19/Nov/19 9:58 AM,07/Nov/19 11:52 AM,Server side,,0,Implement the logic to know whether the current user liked a committed activity earlier,,sarangibalu.a,"not completed;30/Oct/19 4:54 PM;sarangibalu.a;6180","Done;02/Nov/19 12:22 PM;sarangibalu.a;7620",,7200,0,13800,191%,7200,0,13800,,KAR-350,,,,,,,"0|i00rfb:",KAR Sprint 3,KAR Sprint 4,,,
Add new activities for karma admin app,KAR-75,11074,,Story,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,sarangibalu.a,sarangibalu.a,sarangibalu.a,29/Aug/19 4:36 PM,18/Nov/19 10:05 AM,19/Nov/19 9:58 AM,13/Nov/19 8:59 PM,Use cases,,0,Add new activities,,sarangibalu.a,,,,,,,,61200,0,84900,,KAR-1,,,KAR-1,,,,"0|i00ujf:",KAR Sprint 1,KAR Sprint 3,,,
Do the pending logic for retrieving committed activities of a particular status of the logged user,KAR-443,15565,15097,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,sanilkumar.p,sanilkumar.p,sanilkumar.p,14/Nov/19 8:14 PM,15/Nov/19 11:20 AM,19/Nov/19 9:58 AM,15/Nov/19 11:20 AM,,,0,,,,";14/Nov/19 8:14 PM;sanilkumar.p;3600",,,3600,0,3600,100%,3600,0,3600,,,,,,,,,"0|i00xgv:",KAR Sprint 3,,,,
Configure OAuth2 access token for users to authorize the request,KAR-70,11061,,Story,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,sanilkumar.p,sarangibalu.a,sarangibalu.a,29/Aug/19 3:01 PM,14/Nov/19 7:34 AM,19/Nov/19 9:58 AM,14/Nov/19 7:34 AM,Server side,09/Nov/19 12:00 AM,0,Configure Auth2 access token for users to authorized the request,,sarangibalu.a,,,,,,,,5400,1560,3840,,KAR-64,,,KAR-64,,,,"0|i00uji:",KAR Sprint 3,,,,
