Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Component/s,Component/s,Due Date,Votes,Description,Environment,Watchers,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Relates),Custom field (Account),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Iteration),Custom field (Rank),Sprint,Custom field (Story Points),Custom field (Team),Custom field (Team Role)
Users comment on other committed activities,KAR-237,12883,10946,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,sanilkumar.p,sanilkumar.p,sanilkumar.p,30/Sep/19 1:41 AM,01/Oct/19 3:48 PM,12/Nov/19 10:38 AM,01/Oct/19 3:26 PM,,,,0,,,,"Problem with comments component;30/Sep/19 9:50 AM;sanilkumar.p;7560","Comments get properly;01/Oct/19 3:26 PM;sanilkumar.p;3240",,,10800,0,10800,100%,10800,0,10800,,,KAR-256,,,,,,,"0|i00ha7:",KAR Sprint 2,,,
Design page behaviour when users like others feeds,KAR-236,12882,10946,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,sanilkumar.p,sanilkumar.p,sanilkumar.p,29/Sep/19 11:42 PM,30/Sep/19 1:25 AM,12/Nov/19 10:38 AM,30/Sep/19 1:25 AM,,,,0,,,,"Like with double tap is working;30/Sep/19 12:31 AM;sanilkumar.p;2880","Users can like and unlike other users committed activity;30/Sep/19 1:25 AM;sanilkumar.p;3060",,,7200,1260,5940,82%,7200,1260,5940,,,,,,,,,,"0|i00h9z:",KAR Sprint 2,,,
Rework home page with new dump data,KAR-235,12881,10946,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,sanilkumar.p,sanilkumar.p,sanilkumar.p,29/Sep/19 8:00 PM,30/Sep/19 12:32 AM,12/Nov/19 10:38 AM,29/Sep/19 11:43 PM,,,,0,,,,"Connected completed activities;29/Sep/19 9:15 PM;sanilkumar.p;4440","Dump is applied for the activities;29/Sep/19 11:07 PM;sanilkumar.p;3840",,,9000,720,8280,92%,9000,720,8280,,,,,,,,,,"0|i00h9r:",KAR Sprint 2,,,
Create interfaces and dummy objects to use in home page,KAR-229,12874,10946,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,sanilkumar.p,sanilkumar.p,sanilkumar.p,28/Sep/19 9:54 PM,29/Sep/19 7:57 PM,12/Nov/19 10:38 AM,29/Sep/19 7:57 PM,,,,0,,,,"3 interfaces created
Comment, Reply and CommittedActivity;28/Sep/19 11:17 PM;sanilkumar.p;600","Models created;29/Sep/19 12:05 AM;sanilkumar.p;1860","Dump of committed activity is created;29/Sep/19 5:53 PM;sanilkumar.p;5820","Dummy data created for reply, comments and user;29/Sep/19 7:57 PM;sanilkumar.p;960",10800,1560,9240,85%,10800,1560,9240,,,,,,,,,,"0|i00h87:",KAR Sprint 2,,,
UI problem with posted image and background,KAR-226,12857,10946,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,sanilkumar.p,sanilkumar.p,sanilkumar.p,28/Sep/19 12:14 PM,28/Sep/19 1:56 PM,12/Nov/19 10:38 AM,28/Sep/19 1:56 PM,,,,0,,,,"Problem fixed by making the uploaded image as the background;28/Sep/19 1:56 PM;sanilkumar.p;3180",,,,7200,4020,3180,44%,7200,4020,3180,,,,,,,,,,"0|i00h4f:",KAR Sprint 2,,,
Home page UI problem fixes,KAR-223,12795,10946,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,sanilkumar.p,sanilkumar.p,sanilkumar.p,28/Sep/19 12:08 AM,28/Sep/19 12:09 PM,12/Nov/19 10:38 AM,28/Sep/19 12:07 PM,,,,0,,,,"Position of description changed;28/Sep/19 12:53 AM;sanilkumar.p;2640","Problem with uploded image;28/Sep/19 12:07 PM;sanilkumar.p;8160",,,10800,0,10800,100%,10800,0,10800,,,,,,,,,,"0|i00gqv:",KAR Sprint 2,,,
Arrange comments and total likes in proper places,KAR-199,12511,10946,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,sanilkumar.p,sanilkumar.p,sanilkumar.p,24/Sep/19 10:58 PM,25/Sep/19 10:35 PM,12/Nov/19 10:38 AM,25/Sep/19 10:35 PM,,,,0,,,,"Needs more work to make it perfect;25/Sep/19 9:16 AM;sanilkumar.p;2220",";25/Sep/19 12:54 PM;sanilkumar.p;3600","Completed;25/Sep/19 10:33 PM;sanilkumar.p;3060",,10800,1920,8880,82%,10800,1920,8880,,,,,,,,,,"0|i00f0n:",KAR Sprint 2,,,
"Using proper icons for likes, comments and share",KAR-204,12561,10946,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,sanilkumar.p,sanilkumar.p,sanilkumar.p,25/Sep/19 9:47 AM,25/Sep/19 12:57 PM,12/Nov/19 10:38 AM,25/Sep/19 12:55 PM,,,,0,,,,"Aligned icons;25/Sep/19 12:52 PM;sanilkumar.p;6420",,,,7200,780,6420,89%,7200,780,6420,,,,,,,,,,"0|i00fbr:",KAR Sprint 2,,,
Add description under image and show image with optimum size,KAR-189,12437,10946,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,sanilkumar.p,sanilkumar.p,sanilkumar.p,23/Sep/19 3:22 PM,24/Sep/19 10:55 PM,12/Nov/19 10:38 AM,24/Sep/19 10:55 PM,,,,0,,,,"Completed;24/Sep/19 10:55 PM;sanilkumar.p;10680",,,,10800,120,10680,98%,10800,120,10680,,,,,,,,,,"0|i00ek7:",KAR Sprint 2,,,
Design home page which shows feeds,KAR-114,11556,10946,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,sanilkumar.p,sanilkumar.p,sanilkumar.p,04/Sep/19 10:11 AM,24/Sep/19 2:28 PM,12/Nov/19 10:38 AM,23/Sep/19 3:19 PM,,,,0,,,,"Worked with nested sliding;20/Sep/19 2:59 PM;sanilkumar.p;1140","Position is corrected;23/Sep/19 3:18 PM;sanilkumar.p;4740","problem with blurred background;24/Sep/19 2:25 PM;sanilkumar.p;3900",,10800,1020,9780,90%,10800,1020,9780,,,,,,,,,,"0|i0096n:",KAR Sprint 2,,,
Create design for home page,KAR-126,11674,10946,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,sanilkumar.p,sanilkumar.p,sanilkumar.p,05/Sep/19 11:37 AM,23/Sep/19 3:19 PM,12/Nov/19 10:38 AM,23/Sep/19 3:19 PM,,,,0,,,,"fixed some bugs as prior to the removal process;05/Sep/19 2:47 PM;sanilkumar.p;900","Empty home page created;16/Sep/19 4:40 PM;sanilkumar.p;7440","Could not create vertical slides.;19/Sep/19 9:22 AM;sanilkumar.p;3720",,10800,0,12060,111%,10800,0,12060,,,,,,,,,,"0|i009u7:",KAR Sprint 2,,,
Discussion about Home page design & well wishers management ,KAR-124,11669,10946,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,sarangibalu.a,sarangibalu.a,sarangibalu.a,05/Sep/19 10:51 AM,05/Sep/19 11:35 AM,12/Nov/19 10:38 AM,05/Sep/19 10:54 AM,Server side,,,0,Discussion about Home page design & well wishers management,,sarangibalu.a,"Done;05/Sep/19 10:54 AM;sarangibalu.a;7200",,,,7200,0,7200,100%,7200,0,7200,,KAR-62,,,,,,,,"0|i009t3:",KAR Sprint 2,,,
Discussion on designing home page in more user friendly manner,KAR-125,11670,10946,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,sanilkumar.p,sanilkumar.p,sanilkumar.p,05/Sep/19 10:53 AM,05/Sep/19 10:53 AM,12/Nov/19 10:38 AM,05/Sep/19 10:53 AM,,,,0,,,,";05/Sep/19 10:53 AM;sanilkumar.p;6300",,,,6300,0,6300,100%,6300,0,6300,,,,,,,,,,"0|i009tb:",KAR Sprint 2,,,
